Ticket ID,Title,Epic,Type,Priority,Sprint,Status,Dependencies,Labels,Summary,Scope,Implementation Tasks,Acceptance Criteria,Test Plan
RRD-101,Add RRD2 timing and load observability,EPIC-RRD2-STABILITY,Feature,Highest,Sprint 1,Todo,,"rrd2,resonance,observability,phase-b",Add per-candidate runtime observability for RRD2 decisions.,"Log rrd_eval_ms, source, phase, candidate key, gate result, reasons, degradation list, queue depth snapshot.",Extend topology warp log payload with eval duration and queue indicators; Add aggregation endpoint for p50/p95 eval timing; Add Ops panel summary for recent RRD2 performance.,Every new row in identity_topology_warp_log has timing metadata; API returns p50/p95 over selectable windows.,Unit test for timing field presence/type; Integration test validates endpoint aggregate output.
RRD-102,Add negative resonance burst damping,EPIC-RRD2-STABILITY,Feature,Highest,Sprint 1,Todo,RRD-101,"rrd2,resonance,stability,phase-b",Reduce resonance false positives during bursty self-mod cycles.,Rolling window plus refractory logic for high-impact key evaluations.,Compute rolling mean/max for resonance values; Add configurable refractory seconds per key; Persist damping reason when activated.,Burst evaluations show lower oscillation in negative_resonance; No increase in missed true threshold breaches.,Unit tests for window math and refractory edge cases; Replay test with synthetic burst input.
RRD-103,Auto-route shadow-blocked high-impact writes,EPIC-RRD2-STABILITY,Feature,Highest,Sprint 1,Todo,RRD-102,"rrd2,reflection,residue,phase-b",Remove manual intervention for expected shadow-block events.,Route blocked high-impact candidates to reflection_residue with reason rrd2_gate and schedule reflection.,Add routing helper for high-impact shadow-block outcomes; Attach gate context to residue metadata; Trigger non-blocking reflection pass.,All would_block high-impact candidates are persisted as residue with gate evidence; No synchronous consolidation errors.,Integration test from consolidation candidate to residue row.
RRD-104,Escalation policy for persistent blocked keys,EPIC-RRD2-STABILITY,Feature,High,Sprint 2,Todo,RRD-103,"rrd2,governance,escalation",Require operator intervention only after repeated unresolved blocks.,Escalate after N consecutive would_block events per key.,Add rolling counter by key and window; Create escalation artifact in Ops panel; Reset counter on key pass.,Escalation appears only after threshold; Counter resets on pass.,Unit tests for increment/reset semantics.
RRD-105,RRD2 burst performance harness,EPIC-RRD2-STABILITY,Test,Highest,Sprint 1,Todo,RRD-101,"rrd2,performance,test",Validate behavior under heavy candidate bursts.,Simulate 500+ candidates including high-impact keys.,Build synthetic burst feeder script; Capture throughput/latency; Produce markdown report artifact.,No API failures or event-loop starvation; p95 eval time within budget.,Run harness in containerized environment and archive report snapshot.
TOOL-201,Complexity classifier for tool planning,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,,"autonomy,tool-planner,classification",Classify requests as single-step or multi-step tasks.,Deterministic classifier on user intent and required tools.,Define classification rules; Persist classification result; Add tracing in chain logs.,Classifier output persisted and queryable per request.,Unit tests over labeled prompt set.
TOOL-202,Multi-step planner state machine,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,TOOL-201,"autonomy,tool-planner,state-machine",Execute tool chains with explicit step lifecycle.,"Planned, running, retried, failed, complete states.",Implement planner state transitions; Add retry policy; Expose chain state endpoint.,Planner can run and recover from one-step failure.,Integration tests for at least three multi-step workflows.
TOOL-203,Chain execution memory persistence,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,TOOL-202,"autonomy,tool-planner,memory",Persist chain-level memory and outcomes.,Save chain metadata in DB and expose read endpoint.,Add chain memory table; Persist per-step outcomes; Add query endpoint and pagination.,Chain history can be queried and replayed for analysis.,API tests for chain history retrieval.
TOOL-204,Post-chain response quality guard,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,TOOL-202,"autonomy,tool-planner,quality",Prevent shallow final responses after complex tool runs.,Apply response policy for chain-complete outputs.,Add quality gate checks; Add fallback elaboration behavior; Log guard activations.,Complex chain outputs exceed minimum structure and coverage checks.,Regression tests against known shallow-response examples.
TOOL-205,Multi-tool regression suite,EPIC-TOOL-PLANNER,Test,High,Sprint 2,Todo,TOOL-203,"autonomy,tool-planner,test",Golden-path regression for Search + Actuate + Voice chains.,Stable fixture scenarios and expected outcomes.,Add golden chain fixtures; Add CI target; Persist run artifacts for diffing.,Golden suite passes in CI.,Run full suite in backend container before merge.
VOX-301,Deterministic mood-to-voice mapping,EPIC-VOICE-AUTONOMY,Feature,Medium,Sprint 3,Todo,,"voice,resonance,autonomy",Map resonance axes into TTS parameters.,"Pitch, rate, energy, pause profile with bounded ranges.",Define axis->voice map; Clamp to safe ranges; Add deterministic defaults.,Voice profile applied from telemetry without manual prompt.,Unit tests for mapping bounds and defaults.
VOX-302,Voice smoothing and hysteresis,EPIC-VOICE-AUTONOMY,Feature,Medium,Sprint 3,Todo,VOX-301,"voice,resonance,stability",Stabilize voice behavior under noisy telemetry.,Low-pass smoothing and threshold hysteresis.,Add smoothing window; Add hysteresis transitions; Add tuneable config values.,No jitter under small signal fluctuations.,Scenario tests with oscillating resonance inputs.
VOX-303,Voice telemetry and audit logs,EPIC-VOICE-AUTONOMY,Feature,Medium,Sprint 3,Todo,VOX-301,"voice,observability,audit",Log applied mood-voice transformations.,Store profile deltas with source resonance signature.,Add voice event log table; Emit entries on profile changes; Expose read endpoint.,Logs show before/after profile values and source axes.,Integration test for voice event persistence.
VOX-304,Ops controls for voice autonomy,EPIC-VOICE-AUTONOMY,Task,Medium,Sprint 3,Todo,VOX-302,"voice,ops-ui,ux",Add hidden panel controls for voice sensitivity and enable/disable.,Ops-only controls and state display.,Add controls in hidden ops modal; Wire to backend settings endpoint; Add persistence.,Operators can tune mapping sensitivity live.,Manual validation in desktop and mobile layouts.
VOX-305,Voice quality validation suite,EPIC-VOICE-AUTONOMY,Test,Medium,Sprint 3,Todo,VOX-302,"voice,test,quality",Validate intelligibility and non-distortion across mood profiles.,Objective and operator-listened checks.,Add batch synthesis harness; Add clipping/intelligibility checks; Add listening checklist.,All required quality checks pass for top mood profiles.,Batch synthesis run and spot-audition protocol.
