Issue ID,Summary,Issue Type,Epic Name,Epic Link,Priority,Labels,Sprint,Status,Dependencies,Description
RRD-101,Add RRD2 timing and load observability,Story,EPIC-RRD2-STABILITY,EPIC-RRD2-STABILITY,Highest,"rrd2,resonance,observability,phase-b",Sprint 1,Todo,,"Summary: Add per-candidate runtime observability for RRD2 decisions.
Scope: Log rrd_eval_ms, source, phase, candidate key, gate result, reasons, degradation list, queue depth snapshot.
Implementation Tasks: Extend topology warp log payload with eval duration and queue indicators; Add aggregation endpoint for p50/p95 eval timing; Add Ops panel summary for recent RRD2 performance.
Acceptance Criteria: Every new row in identity_topology_warp_log has timing metadata; API returns p50/p95 over selectable windows.
Test Plan: Unit test for timing field presence/type; Integration test validates endpoint aggregate output."
RRD-102,Add negative resonance burst damping,Story,EPIC-RRD2-STABILITY,EPIC-RRD2-STABILITY,Highest,"rrd2,resonance,stability,phase-b",Sprint 1,Todo,RRD-101,"Summary: Reduce resonance false positives during bursty self-mod cycles.
Scope: Rolling window plus refractory logic for high-impact key evaluations.
Implementation Tasks: Compute rolling mean/max for resonance values; Add configurable refractory seconds per key; Persist damping reason when activated.
Acceptance Criteria: Burst evaluations show lower oscillation in negative_resonance; No increase in missed true threshold breaches.
Test Plan: Unit tests for window math and refractory edge cases; Replay test with synthetic burst input."
RRD-103,Auto-route shadow-blocked high-impact writes,Story,EPIC-RRD2-STABILITY,EPIC-RRD2-STABILITY,Highest,"rrd2,reflection,residue,phase-b",Sprint 1,Todo,RRD-102,"Summary: Remove manual intervention for expected shadow-block events.
Scope: Route blocked high-impact candidates to reflection_residue with reason rrd2_gate and schedule reflection.
Implementation Tasks: Add routing helper for high-impact shadow-block outcomes; Attach gate context to residue metadata; Trigger non-blocking reflection pass.
Acceptance Criteria: All would_block high-impact candidates are persisted as residue with gate evidence; No synchronous consolidation errors.
Test Plan: Integration test from consolidation candidate to residue row."
RRD-104,Escalation policy for persistent blocked keys,Story,EPIC-RRD2-STABILITY,EPIC-RRD2-STABILITY,High,"rrd2,governance,escalation",Sprint 2,Todo,RRD-103,"Summary: Require operator intervention only after repeated unresolved blocks.
Scope: Escalate after N consecutive would_block events per key.
Implementation Tasks: Add rolling counter by key and window; Create escalation artifact in Ops panel; Reset counter on key pass.
Acceptance Criteria: Escalation appears only after threshold; Counter resets on pass.
Test Plan: Unit tests for increment/reset semantics."
RRD-105,RRD2 burst performance harness,Test,EPIC-RRD2-STABILITY,EPIC-RRD2-STABILITY,Highest,"rrd2,performance,test",Sprint 1,Todo,RRD-101,"Summary: Validate behavior under heavy candidate bursts.
Scope: Simulate 500+ candidates including high-impact keys.
Implementation Tasks: Build synthetic burst feeder script; Capture throughput/latency; Produce markdown report artifact.
Acceptance Criteria: No API failures or event-loop starvation; p95 eval time within budget.
Test Plan: Run harness in containerized environment and archive report snapshot."
TOOL-201,Complexity classifier for tool planning,Story,EPIC-TOOL-PLANNER,EPIC-TOOL-PLANNER,High,"autonomy,tool-planner,classification",Sprint 2,Todo,,"Summary: Classify requests as single-step or multi-step tasks.
Scope: Deterministic classifier on user intent and required tools.
Implementation Tasks: Define classification rules; Persist classification result; Add tracing in chain logs.
Acceptance Criteria: Classifier output persisted and queryable per request.
Test Plan: Unit tests over labeled prompt set."
TOOL-202,Multi-step planner state machine,Story,EPIC-TOOL-PLANNER,EPIC-TOOL-PLANNER,High,"autonomy,tool-planner,state-machine",Sprint 2,Todo,TOOL-201,"Summary: Execute tool chains with explicit step lifecycle.
Scope: Planned, running, retried, failed, complete states.
Implementation Tasks: Implement planner state transitions; Add retry policy; Expose chain state endpoint.
Acceptance Criteria: Planner can run and recover from one-step failure.
Test Plan: Integration tests for at least three multi-step workflows."
TOOL-203,Chain execution memory persistence,Story,EPIC-TOOL-PLANNER,EPIC-TOOL-PLANNER,High,"autonomy,tool-planner,memory",Sprint 2,Todo,TOOL-202,"Summary: Persist chain-level memory and outcomes.
Scope: Save chain metadata in DB and expose read endpoint.
Implementation Tasks: Add chain memory table; Persist per-step outcomes; Add query endpoint and pagination.
Acceptance Criteria: Chain history can be queried and replayed for analysis.
Test Plan: API tests for chain history retrieval."
TOOL-204,Post-chain response quality guard,Story,EPIC-TOOL-PLANNER,EPIC-TOOL-PLANNER,High,"autonomy,tool-planner,quality",Sprint 2,Todo,TOOL-202,"Summary: Prevent shallow final responses after complex tool runs.
Scope: Apply response policy for chain-complete outputs.
Implementation Tasks: Add quality gate checks; Add fallback elaboration behavior; Log guard activations.
Acceptance Criteria: Complex chain outputs exceed minimum structure and coverage checks.
Test Plan: Regression tests against known shallow-response examples."
TOOL-205,Multi-tool regression suite,Test,EPIC-TOOL-PLANNER,EPIC-TOOL-PLANNER,High,"autonomy,tool-planner,test",Sprint 2,Todo,TOOL-203,"Summary: Golden-path regression for Search + Actuate + Voice chains.
Scope: Stable fixture scenarios and expected outcomes.
Implementation Tasks: Add golden chain fixtures; Add CI target; Persist run artifacts for diffing.
Acceptance Criteria: Golden suite passes in CI.
Test Plan: Run full suite in backend container before merge."
