Ticket ID,Title,Epic,Type,Priority,Sprint,Status,Dependencies,Labels,Description
RRD-101,Add RRD2 timing and load observability,EPIC-RRD2-STABILITY,Feature,Highest,Sprint 1,Todo,,"rrd2,resonance,observability,phase-b","Summary=Add per-candidate runtime observability for RRD2 decisions. | Scope=Log rrd_eval_ms, source, phase, candidate key, gate result, reasons, degradation list, queue depth snapshot. | Tasks=Extend topology warp log payload with eval duration and queue indicators; Add aggregation endpoint for p50/p95 eval timing; Add Ops panel summary for recent RRD2 performance. | Acceptance=Every new row in identity_topology_warp_log has timing metadata; API returns p50/p95 over selectable windows. | Test=Unit test for timing field presence/type; Integration test validates endpoint aggregate output."
RRD-102,Add negative resonance burst damping,EPIC-RRD2-STABILITY,Feature,Highest,Sprint 1,Todo,RRD-101,"rrd2,resonance,stability,phase-b",Summary=Reduce resonance false positives during bursty self-mod cycles. | Scope=Rolling window plus refractory logic for high-impact key evaluations. | Tasks=Compute rolling mean/max for resonance values; Add configurable refractory seconds per key; Persist damping reason when activated. | Acceptance=Burst evaluations show lower oscillation in negative_resonance; No increase in missed true threshold breaches. | Test=Unit tests for window math and refractory edge cases; Replay test with synthetic burst input.
RRD-103,Auto-route shadow-blocked high-impact writes,EPIC-RRD2-STABILITY,Feature,Highest,Sprint 1,Todo,RRD-102,"rrd2,reflection,residue,phase-b",Summary=Remove manual intervention for expected shadow-block events. | Scope=Route blocked high-impact candidates to reflection_residue with reason rrd2_gate and schedule reflection. | Tasks=Add routing helper for high-impact shadow-block outcomes; Attach gate context to residue metadata; Trigger non-blocking reflection pass. | Acceptance=All would_block high-impact candidates are persisted as residue with gate evidence; No synchronous consolidation errors. | Test=Integration test from consolidation candidate to residue row.
RRD-104,Escalation policy for persistent blocked keys,EPIC-RRD2-STABILITY,Feature,High,Sprint 2,Todo,RRD-103,"rrd2,governance,escalation",Summary=Require operator intervention only after repeated unresolved blocks. | Scope=Escalate after N consecutive would_block events per key. | Tasks=Add rolling counter by key and window; Create escalation artifact in Ops panel; Reset counter on key pass. | Acceptance=Escalation appears only after threshold; Counter resets on pass. | Test=Unit tests for increment/reset semantics.
RRD-105,RRD2 burst performance harness,EPIC-RRD2-STABILITY,Test,Highest,Sprint 1,Todo,RRD-101,"rrd2,performance,test",Summary=Validate behavior under heavy candidate bursts. | Scope=Simulate 500+ candidates including high-impact keys. | Tasks=Build synthetic burst feeder script; Capture throughput/latency; Produce markdown report artifact. | Acceptance=No API failures or event-loop starvation; p95 eval time within budget. | Test=Run harness in containerized environment and archive report snapshot.
TOOL-201,Complexity classifier for tool planning,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,,"autonomy,tool-planner,classification",Summary=Classify requests as single-step or multi-step tasks. | Scope=Deterministic classifier on user intent and required tools. | Tasks=Define classification rules; Persist classification result; Add tracing in chain logs. | Acceptance=Classifier output persisted and queryable per request. | Test=Unit tests over labeled prompt set.
TOOL-202,Multi-step planner state machine,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,TOOL-201,"autonomy,tool-planner,state-machine","Summary=Execute tool chains with explicit step lifecycle. | Scope=Planned, running, retried, failed, complete states. | Tasks=Implement planner state transitions; Add retry policy; Expose chain state endpoint. | Acceptance=Planner can run and recover from one-step failure. | Test=Integration tests for at least three multi-step workflows."
TOOL-203,Chain execution memory persistence,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,TOOL-202,"autonomy,tool-planner,memory",Summary=Persist chain-level memory and outcomes. | Scope=Save chain metadata in DB and expose read endpoint. | Tasks=Add chain memory table; Persist per-step outcomes; Add query endpoint and pagination. | Acceptance=Chain history can be queried and replayed for analysis. | Test=API tests for chain history retrieval.
TOOL-204,Post-chain response quality guard,EPIC-TOOL-PLANNER,Feature,High,Sprint 2,Todo,TOOL-202,"autonomy,tool-planner,quality",Summary=Prevent shallow final responses after complex tool runs. | Scope=Apply response policy for chain-complete outputs. | Tasks=Add quality gate checks; Add fallback elaboration behavior; Log guard activations. | Acceptance=Complex chain outputs exceed minimum structure and coverage checks. | Test=Regression tests against known shallow-response examples.
TOOL-205,Multi-tool regression suite,EPIC-TOOL-PLANNER,Test,High,Sprint 2,Todo,TOOL-203,"autonomy,tool-planner,test",Summary=Golden-path regression for Search + Actuate + Voice chains. | Scope=Stable fixture scenarios and expected outcomes. | Tasks=Add golden chain fixtures; Add CI target; Persist run artifacts for diffing. | Acceptance=Golden suite passes in CI. | Test=Run full suite in backend container before merge.
VOX-301,Deterministic mood-to-voice mapping,EPIC-VOICE-AUTONOMY,Feature,Medium,Sprint 3,Todo,,"voice,resonance,autonomy","Summary=Map resonance axes into TTS parameters. | Scope=Pitch, rate, energy, pause profile with bounded ranges. | Tasks=Define axis->voice map; Clamp to safe ranges; Add deterministic defaults. | Acceptance=Voice profile applied from telemetry without manual prompt. | Test=Unit tests for mapping bounds and defaults."
VOX-302,Voice smoothing and hysteresis,EPIC-VOICE-AUTONOMY,Feature,Medium,Sprint 3,Todo,VOX-301,"voice,resonance,stability",Summary=Stabilize voice behavior under noisy telemetry. | Scope=Low-pass smoothing and threshold hysteresis. | Tasks=Add smoothing window; Add hysteresis transitions; Add tuneable config values. | Acceptance=No jitter under small signal fluctuations. | Test=Scenario tests with oscillating resonance inputs.
VOX-303,Voice telemetry and audit logs,EPIC-VOICE-AUTONOMY,Feature,Medium,Sprint 3,Todo,VOX-301,"voice,observability,audit",Summary=Log applied mood-voice transformations. | Scope=Store profile deltas with source resonance signature. | Tasks=Add voice event log table; Emit entries on profile changes; Expose read endpoint. | Acceptance=Logs show before/after profile values and source axes. | Test=Integration test for voice event persistence.
VOX-304,Ops controls for voice autonomy,EPIC-VOICE-AUTONOMY,Task,Medium,Sprint 3,Todo,VOX-302,"voice,ops-ui,ux",Summary=Add hidden panel controls for voice sensitivity and enable/disable. | Scope=Ops-only controls and state display. | Tasks=Add controls in hidden ops modal; Wire to backend settings endpoint; Add persistence. | Acceptance=Operators can tune mapping sensitivity live. | Test=Manual validation in desktop and mobile layouts.
VOX-305,Voice quality validation suite,EPIC-VOICE-AUTONOMY,Test,Medium,Sprint 3,Todo,VOX-302,"voice,test,quality",Summary=Validate intelligibility and non-distortion across mood profiles. | Scope=Objective and operator-listened checks. | Tasks=Add batch synthesis harness; Add clipping/intelligibility checks; Add listening checklist. | Acceptance=All required quality checks pass for top mood profiles. | Test=Batch synthesis run and spot-audition protocol.
EXAM-401,OMEGA Cognitive Exam spec v1,EPIC-COGNITIVE-EXAMS,Feature,High,Sprint 2,Todo,,"cognitive-exam,protocol","Summary=Define repeatable daily and weekly cognitive exam protocol. | Scope=Inputs, scoring, and trend indicators. | Tasks=Draft exam battery; Define scoring and metadata schema; Version and approve spec. | Acceptance=Exam spec approved and versioned in docs. | Test=Dry-run scoring on historical sample."
EXAM-402,Automated exam runner and persistence,EPIC-COGNITIVE-EXAMS,Feature,High,Sprint 2,Todo,EXAM-401,"cognitive-exam,scheduler,backend",Summary=Schedule and persist exam runs. | Scope=Daily and weekly jobs plus DB artifacts. | Tasks=Implement scheduler hooks; Persist run snapshots; Add run status endpoint. | Acceptance=Scheduled runs execute and persist without manual trigger. | Test=Integration test with forced scheduler execution.
EXAM-403,Longitudinal exam analytics,EPIC-COGNITIVE-EXAMS,Feature,Medium,Sprint 3,Todo,EXAM-402,"cognitive-exam,analytics,reporting","Summary=Generate trend analytics for behavioral drift. | Scope=Coherence, novelty, contradiction resolution, chain depth trends. | Tasks=Add analytics queries; Add trend endpoint; Add weekly report export. | Acceptance=Trend endpoint returns 7/30-day summaries. | Test=Query validation against fixture dataset."
EXAM-404,Ops exam dashboard section,EPIC-COGNITIVE-EXAMS,Task,Medium,Sprint 3,Todo,EXAM-403,"cognitive-exam,ops-ui,ux","Summary=Render cognitive exam trends in hidden Ops panel. | Scope=Snapshot, trendline, anomaly markers. | Tasks=Add ops panel section; Hook trend endpoint; Add delta highlights. | Acceptance=Ops panel shows latest exam and trend deltas. | Test=Manual UI verification and endpoint smoke tests."
EMB-501,Dream pressure composite index,EPIC-EMBODIMENT-DREAM,Feature,Medium,Sprint 3,Todo,,"embodiment,dream-cycle,resonance",Summary=Build deterministic composite from weather/time/system load. | Scope=Bounded index for dream-cycle biasing. | Tasks=Define weighted composite; Add bounds/clamps; Emit in somatic payload. | Acceptance=Composite index emitted in somatic and ops diagnostics. | Test=Unit tests with fixed weather/time fixtures.
EMB-502,Quietude depth bias from composite index,EPIC-EMBODIMENT-DREAM,Feature,Medium,Sprint 3,Todo,EMB-501,"embodiment,quietude,dream-cycle",Summary=Bias quietude timing and depth using composite pressure. | Scope=Influence schedule without hard forcing behavior. | Tasks=Wire composite into quietude scheduler; Add depth modulation; Add trace logging. | Acceptance=Quietude timing shifts correlate with index changes. | Test=Integration tests over simulated day-night/weather profiles.
EMB-503,Anti-runaway safety guardrails,EPIC-EMBODIMENT-DREAM,Task,High,Sprint 3,Todo,EMB-502,"embodiment,safety,quietude","Summary=Prevent environmental anomalies from locking quietude loops. | Scope=Clamp, cooldown, and maximum quietude occupancy constraints. | Tasks=Add occupancy limits; Add anomaly detection fallback; Add operator override path. | Acceptance=System cannot remain in continuous quietude from external spikes alone. | Test=Fault-injection scenarios for bad weather/telemetry data."
EMB-504,Correlation validation report,EPIC-EMBODIMENT-DREAM,Test,Medium,Sprint 3,Todo,EMB-502,"embodiment,test,reporting",Summary=Validate linkage quality between environment and dream behavior. | Scope=Weekly correlation report artifact with confidence notes. | Tasks=Add correlation report script; Store weekly snapshots; Expose in ops reports. | Acceptance=Report produced automatically with confidence annotations. | Test=Run report script in-container and validate output schema.
